"You need to be ready when the window opens up , Rosberg said .",neutral,need ready window open  rosberg say ,1
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral, director shareholder alike ask practice allow continue  ,1
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral, issue identify stonesoft affect range content inspection technology ,1
`` They want my credit card info and my personal details .,neutral, want credit card info personal detail ,1
About Dopplr Dopplr is a service for smart travellers .,neutral,dopplr dopplr service smart traveller ,1
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",neutral,accord sweden minister local government financial market  mat odell  decision sell state share telecom group teliasonera carry cooperation state finland ,1
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,accord capman plc corporate governance  majority committee  member shall independent company ,1
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,accord finnair technical service  measure due employment situation ,1
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,accord honka japan manage director marko saarelainen  honkarakenne export 200 ready make log house japan year ,1
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,accord preliminary data slovakia statistic office  good worth e36 4 million import finland january october 2010  make 01 percent slovakia total import ,1
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",neutral,accord seikku  retail sector finland control 34 large actor  food manufacturer still relatively small ,1
"Also , a six-year historic analysis is provided for these markets .",neutral,also  sixyear historic analysis provide market ,1
"Also , a six-year historic analysis is provided for this market .",neutral,also  sixyear historic analysis provide market ,1
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,amanda say already make usd5 0 investment commitment russia partner ii fund july 2005 ,1
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral, invention  release patent office  say   chamber pressurize ,1
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,audio webcast available live archive cerner web site wwwcernercom ,1
BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral,basware order match automatically match purchase invoice approve purchase order ,1
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,capacity facility make finland vaahto group 86000 ton light coat paper ,1
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,capman  asset manager  ha eur 3bn worth asset management nordic region ,1
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral,capman ha four investment area  capman buyout  capman technology  capman life science capman real estate   ha dedicate team ,1
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,castecka say town hall would hold talk investor interest zone ,1
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,change announce today effective close trade friday  june 19  2009 ,1
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,chs expo freight major finnish fair  exhibition culture logistics company provide logistics service various event land  air sea ,1
Competition authorities will have to approve the deal before it can be finalized .,neutral,competition authority approve deal finalize ,1
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",neutral,complete name shareholder  otto henrik bernhard nyberg information  please contact maijaliisa friman  ceo  tel 358 9 7597 0711 ,1
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,completion transaction subject final agreement due diligence process ,1
Construction is expected to be completed in the summer of 2011 .,neutral,construction expect complete summer 2011 ,1
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,dragonfly love another video shoot start finish use nokia n8 ,1
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,elcoteq electronics manufacture service  em  business segment serf customer globally engineer  manufacture fulfillment service ,1
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,eqt ha complete exit salcomp  finnish company make mobile phone charger  sell remain stake swedish investment group nordstjernan  euro  35 million   47 million  ,1
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,financialwire  tm   cooperation investrend broadcast syndicate  also provide complete  daily conference call webcast schedule service shareholder investor via firstalert  tm  network oefirstalert  tm  daily ,1
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,follow registration  number issue outstanding share basware 12890829 ,1
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,fortum previously buy stateheld stake tgk10 rao ues reform ,1
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,goodwill intangible asset account 20 mln euro   26 mln  purchase price  20 pct payable aspo share ,1
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,harold w young independent broker work closely several retailer include ahold usa  market basket  cv  bj wholesale club  hannaford cumberland farm ,1
